"W (kg) = ",4.5,"W = ",9.1,"W = ",14,"W = ",18,"W = ",23,"W = ",27,"W = ",32,"W = ",36,"W = ",41,"W = ",45,"W = ",91,"W = ",140,"W = ",180,"W = ",230,"W = ",270,"W = ",320,"W = ",360,"W = ",410,"W = ",450,"W = ",910
6.143397364345,4.411877630513,6.128184215473,7.62703125734,6.344639409554,9.952136903603,7.199850837298,9.992650492472,7.970252894984,9.923747652747,9.112111846077,9.922695591037,9.815736636723,9.975357211856,10.67908230799,9.974691344625,11.70510612844,9.988805920683,12.89348644543,9.973203096234,16.60364644926,9.91798216572,20.85780650989,9.969405153154,24.9343406138,9.967995975294,28.22524024441,9.967017496752,31.71370784139,10.01957991598,35.63332876319,9.965178217109,38.57570223879,9.991253285905,41.76103818717,9.963926135826,44.10225346325,10.01696390708,68.42544690878,10.02542677899
6.158648279689,4.388319475839,6.158648279689,7.575020192327,6.344639409554,10.00554408521,7.21772438659,9.924527029632,8.009874141258,9.806380585608,9.157409433529,9.869691879586,9.864532041808,9.869110570885,10.73216952563,9.894895413212,11.73416392368,9.920708667661,12.95758177697,9.866979398556,16.60364644926,9.971206059221,20.96149359478,9.889651510425,25.05829272212,9.914750284387,28.22524024441,10.02050453362,31.79243676691,9.939444397653,35.81046704388,9.885458389191,38.76746747118,9.911324861617,41.96863817183,9.910702184636,44.32149195778,9.990154839465,68.80381931177,9.945889804986
6.189263785047,4.364878545185,6.189263785047,7.494339327108,6.376179502933,9.898975926537,7.253604707984,9.871513535251,8.009874141258,9.870738321536,9.20293220165,9.764570670656,9.864532041808,9.922072199691,10.78552064729,9.815737836455,11.79249610018,9.867715569689,12.95758177697,9.919929590633,16.68618550714,9.865003631807,21.06569612272,9.810535884051,25.18286101377,9.8617890141,28.36555187688,9.887282954891,31.95048143418,9.886351219696,35.98848590384,9.832653586383,38.96018599546,9.85838188879,42.17727016515,9.85776253794,44.54182031765,9.936790783337,69.25353663564,9.896010133149
6.189263785047,4.341579876052,6.189263785047,7.534556975369,6.407876386546,9.793542815831,7.271611700659,9.833410793036,8.049692350311,9.765605967045,9.20293220165,9.816971296184,9.924500405864,9.816384526916,10.83913698486,9.763305457453,11.85111825412,9.762615410259,13.02199573541,9.814273304317,16.76913487827,9.786085184509,21.17041665606,9.758131292133,25.30804855189,9.809110645153,28.50656101817,9.834468405865,32.10931176367,9.807261995118,36.16738972055,9.753993934261,39.15386255059,9.805721719564,42.38693929741,9.805105677079,44.76324396073,9.883711780098,69.65463600419,9.87144247146
6.204628563268,4.318397091121,6.22003148438,7.434385814135,6.407876386546,9.846098917578,7.289663395493,9.766372924029,8.089708501272,9.661593367897,9.248681269843,9.71241160949,9.980983057161,9.774400184513,10.89301985678,9.659317360827,11.85111825412,9.81500554307,13.08672990468,9.761848748355,16.85249660237,9.733811200027,21.27565776988,9.680067806417,25.43385841484,9.756713666384,28.64827113571,9.781935974444,32.26893166104,9.754874891217,36.34718289325,9.701891370473,39.34850189907,9.753342843298,42.59765072437,9.752730091505,44.98576833184,9.830916307089,69.76986626468,9.839195802075
6.235472643071,4.31838013422,6.250952134267,7.374911919653,6.439730839818,9.689232663795,7.307759903458,9.728676010726,8.089708501272,9.713441375674,9.294657763077,9.608965578705,9.987584432489,9.726269624499,10.89301985678,9.711153154632,11.92316345312,9.710458320146,13.15178587659,9.657876167007,16.9362727293,9.655942271148,21.38142205205,9.628360131207,25.56029369628,9.704596574699,28.79068571414,9.755755927738,32.42934505133,9.702767621652,36.52786984306,9.624277795113,39.54410882709,9.70124375742,42.80940962742,9.674709814528,45.20939890284,9.778402849788,69.94306917846,9.794662912111
6.250952134267,4.295321229223,6.282026495046,7.296362389818,6.439730839818,9.741228995184,7.325901335801,9.66235215609,8.129923578139,9.60998437694,9.294657763077,9.660531164533,10.0123784993,9.659962175056,10.94717058802,9.607720527537,11.96923826757,9.607041476715,13.15178587659,9.709704226785,17.02046531912,9.604363466455,21.48771210331,9.551334793971,25.68735750527,9.601233781153,28.93380825543,9.65184824048,32.59055587911,9.650938691644,36.70945501306,9.572868131429,39.7406881446,9.649422967383,43.02222121371,9.623030759913,45.43414117281,9.700177194861,69.94306917846,9.801217802053
6.250952134267,4.272393840269,6.282026495046,7.335517613965,6.471743646049,9.611720356058,7.362319419999,9.610739111941,8.150106022622,9.572891102833,9.340862811916,9.557637707745,10.04276596186,9.604377713673,11.00159051014,9.556399307223,11.96923826757,9.658596737036,13.21716525088,9.606287032091,17.10507644213,9.553060178435,21.59453053735,9.500314767332,25.68735750527,9.652757875037,28.93380825543,9.703643951972,32.75256810855,9.599386614394,36.89194286844,9.496286721294,39.93824468551,9.546647823013,43.23609071627,9.571627757474,45.66000066815,9.648362102043,70.29076599631,9.748862984204
6.282026495046,4.249572145475,6.313255330836,7.2379926606,6.503915592436,9.534828134355,7.380596295733,9.573642924656,8.170338569799,9.507629289484,9.38729755254,9.455840159998,10.08713061726,9.557056014787,11.02890183571,9.519512864428,12.02873903164,9.544365580484,13.28286963521,9.529438276108,17.19010817891,9.476637228747,21.70187998082,9.449567272561,25.81505296628,9.549947210863,29.07764227897,9.600291304726,32.91538572353,9.548109911048,37.07533789658,9.395142617438,39.93824468551,9.597878986624,43.45102339417,9.495056270131,45.88698294277,9.622539547988,70.64019126387,9.670873643465
6.313255330836,4.22687235652,6.344639409554,7.180089879857,6.536247470085,9.433273529342,7.398918543607,9.508375985869,8.210954470057,9.456842722989,9.38729755254,9.506584013055,10.11217180636,9.506024090813,11.05628096134,9.45461494957,12.08853558237,9.504680411979,13.34890064527,9.453204297852,17.2755626204,9.400825650403,21.80976307345,9.399090853886,25.94338321937,9.498934596227,29.22219132164,9.549009768828,33.07901272773,9.497107110652,37.07533789658,9.445560742994,40.13678330772,9.495652832601,43.66702453258,9.469644018683,46.11509357814,9.571139169438,70.9913535735,9.61921508039
